dataset,model,mode,alpha,metric,mean,std,ci_lower,ci_upper,n
GoEmotions,Emollama-7b,hybrid,0.7,ece,0.05513112126379234,0.025379578629670486,0.03697566441998347,0.07328657810760121,10
GoEmotions,Emollama-7b,hybrid,0.8,ece,0.15512876629177705,0.02018465035448285,0.14068953726573774,0.16956799531781636,10
GoEmotions,Emollama-7b,hybrid,0.9,ece,0.24820517037291756,0.011460315309296566,0.24000695467160837,0.25640338607422675,10
GoEmotions,Emollama-7b,mondrian,0.1,ece,0.027124845781208995,0.007865712963516038,0.021498053692235786,0.032751637870182204,10
GoEmotions,Emollama-7b,mondrian,0.2,ece,0.035732362156462874,0.013727083911943846,0.025912597880972405,0.045552126431953346,10
GoEmotions,Emollama-7b,mondrian,0.3,ece,0.036037969709879616,0.010757426344545282,0.028342570483648244,0.04373336893611099,10
GoEmotions,Emollama-7b,mondrian,0.4,ece,0.034399817711919446,0.016681333435802453,0.022466710637523958,0.046332924786314934,10
GoEmotions,Emollama-7b,mondrian,0.5,ece,0.032465644289798756,0.0170551281842039,0.020265140560712117,0.044666148018885396,10
GoEmotions,Emollama-7b,mondrian,0.6,ece,0.03651535169024488,0.024448507085624398,0.0190259433054386,0.05400476007505115,10
GoEmotions,Emollama-7b,mondrian,0.7,ece,0.05707550270206274,0.022926782451081505,0.04067467054358931,0.07347633486053617,10
GoEmotions,Emollama-7b,mondrian,0.8,ece,0.15355699809187773,0.020900695511805012,0.1386055412175485,0.16850845496620695,10
GoEmotions,Emollama-7b,mondrian,0.9,ece,0.25061027556174037,0.010829790880809025,0.24286310986474408,0.25835744125873666,10
