dataset,model,mode,repeat_index,accuracy,f1_micro,f1_macro,pcc,ace
SST5,Emollama-chat-13b,mondrian,7,0.24660633484162897,0.24660633484162897,0.20863225799459534,0.7539238316579461,0.00678733031674209
SST5,Emollama-chat-13b,mondrian,8,0.248868778280543,0.248868778280543,0.20606252144091278,0.747661953515819,0.014298642533936645
SST5,Emollama-chat-13b,mondrian,9,0.2398190045248869,0.2398190045248869,0.20463401802365108,0.7727330594601054,0.009864253393665146
SST5,Emollama-chat-7b,global,0,0.18925831202046037,0.18925831202046037,0.15981191222570534,0.7233180027502074,0.02838874680306904
SST5,Emollama-chat-7b,global,1,0.18925831202046037,0.18925831202046037,0.1485626359337678,0.726622584237814,0.020818414322250612
SST5,Emollama-chat-7b,global,2,0.1867007672634271,0.1867007672634271,0.15474771113919475,0.6979833149460914,0.016112531969309462
SST5,Emollama-chat-7b,global,3,0.22506393861892582,0.22506393861892582,0.1794047619047619,0.6995314053580439,0.0034271099744245027
SST5,Emollama-chat-7b,global,4,0.17391304347826086,0.17391304347826086,0.14693004085350478,0.723574407651223,0.014782608695652188
SST5,Emollama-chat-7b,global,5,0.18414322250639387,0.18414322250639387,0.1567628833238456,0.7422298444560803,0.024296675191815865
SST5,Emollama-chat-7b,global,6,0.21227621483375958,0.21227621483375958,0.16961152882205513,0.7363690413359107,0.008644501278772398
SST5,Emollama-chat-7b,global,7,0.16879795396419436,0.16879795396419436,0.14188233392296357,0.7137076282518852,0.01109974424552429
SST5,Emollama-chat-7b,global,8,0.19437340153452684,0.19437340153452684,0.1646760928488034,0.720667327212612,0.01693094629156009
SST5,Emollama-chat-7b,global,9,0.1918158567774936,0.1918158567774936,0.1594533512620865,0.6954869089555845,0.01263427109974422
SST5,Emollama-chat-7b,hybrid,0,0.18925831202046037,0.18925831202046037,0.15981191222570534,0.7233180027502074,0.02542199488491047
SST5,Emollama-chat-7b,hybrid,1,0.18925831202046037,0.18925831202046037,0.1485626359337678,0.726622584237814,0.057544757033248094
SST5,Emollama-chat-7b,hybrid,2,0.1867007672634271,0.1867007672634271,0.15474771113919475,0.6979833149460914,0.03462915601023018
SST5,Emollama-chat-7b,hybrid,3,0.22506393861892582,0.22506393861892582,0.1794047619047619,0.6995314053580439,0.05764705882352942
SST5,Emollama-chat-7b,hybrid,4,0.17391304347826086,0.17391304347826086,0.14693004085350478,0.723574407651223,0.028184143222506397
SST5,Emollama-chat-7b,hybrid,5,0.18414322250639387,0.18414322250639387,0.1567628833238456,0.7422298444560803,0.020204603580562662
SST5,Emollama-chat-7b,hybrid,6,0.21227621483375958,0.21227621483375958,0.16961152882205513,0.7363690413359107,0.05703324808184146
SST5,Emollama-chat-7b,hybrid,7,0.16879795396419436,0.16879795396419436,0.14188233392296357,0.7137076282518852,0.034219948849104856
SST5,Emollama-chat-7b,hybrid,8,0.19437340153452684,0.19437340153452684,0.1646760928488034,0.720667327212612,0.04864450127877236
SST5,Emollama-chat-7b,hybrid,9,0.1918158567774936,0.1918158567774936,0.1594533512620865,0.6954869089555845,0.03687979539641941
SST5,Emollama-chat-7b,mondrian,0,0.18925831202046037,0.18925831202046037,0.15981191222570534,0.7233180027502074,0.013861892583120206
SST5,Emollama-chat-7b,mondrian,1,0.18925831202046037,0.18925831202046037,0.1485626359337678,0.726622584237814,0.038107416879795394
SST5,Emollama-chat-7b,mondrian,2,0.1867007672634271,0.1867007672634271,0.15474771113919475,0.6979833149460914,0.015601023017902827
SST5,Emollama-chat-7b,mondrian,3,0.22506393861892582,0.22506393861892582,0.1794047619047619,0.6995314053580439,0.032787723785166215
SST5,Emollama-chat-7b,mondrian,4,0.17391304347826086,0.17391304347826086,0.14693004085350478,0.723574407651223,0.03401534526854222
SST5,Emollama-chat-7b,mondrian,5,0.18414322250639387,0.18414322250639387,0.1567628833238456,0.7422298444560803,0.04680306905370846
SST5,Emollama-chat-7b,mondrian,6,0.21227621483375958,0.21227621483375958,0.16961152882205513,0.7363690413359107,0.014066496163682874
SST5,Emollama-chat-7b,mondrian,7,0.16879795396419436,0.16879795396419436,0.14188233392296357,0.7137076282518852,0.024092071611253173
SST5,Emollama-chat-7b,mondrian,8,0.19437340153452684,0.19437340153452684,0.1646760928488034,0.720667327212612,0.02480818414322252
SST5,Emollama-chat-7b,mondrian,9,0.1918158567774936,0.1918158567774936,0.1594533512620865,0.6954869089555845,0.010588235294117654
SST5,Emoopt-13b,global,0,0.228310502283105,0.228310502283105,0.17431669294970487,0.6569543726625355,0.027853881278538783
SST5,Emoopt-13b,global,1,0.2191780821917808,0.2191780821917808,0.15864987527921456,0.6411659096594395,0.01826484018264842
SST5,Emoopt-13b,global,2,0.2374429223744292,0.2374429223744292,0.17899247338089777,0.6492058146569516,0.05068493150684933
SST5,Emoopt-13b,global,3,0.2762557077625571,0.2762557077625571,0.20133154604641673,0.6072932747692016,0.03442922374429225
SST5,Emoopt-13b,global,4,0.1963470319634703,0.1963470319634703,0.15178464362735097,0.6618831808884218,0.015525114155251152
SST5,Emoopt-13b,global,5,0.23515981735159816,0.23515981735159816,0.1794597971031751,0.6469698197824764,0.015525114155251152
SST5,Emoopt-13b,global,6,0.2671232876712329,0.2671232876712329,0.19581938716110261,0.6149875183618924,0.008858447488584487
SST5,Emoopt-13b,global,7,0.273972602739726,0.273972602739726,0.1970147017262487,0.6379545629626352,0.03205479452054798
SST5,Emoopt-13b,global,8,0.2465753424657534,0.2465753424657534,0.18949202001311316,0.6794961811075423,0.04292237442922375
SST5,Emoopt-13b,global,9,0.2511415525114155,0.2511415525114155,0.18521169233243534,0.703321748515755,0.06803652968036529
SST5,Emoopt-13b,hybrid,0,0.228310502283105,0.228310502283105,0.17431669294970487,0.6569543726625355,0.008493150684931505
SST5,Emoopt-13b,hybrid,1,0.2191780821917808,0.2191780821917808,0.15864987527921456,0.6411659096594395,0.055068493150684905
SST5,Emoopt-13b,hybrid,2,0.2374429223744292,0.2374429223744292,0.17899247338089777,0.6492058146569516,0.022374429223744264
SST5,Emoopt-13b,hybrid,3,0.2762557077625571,0.2762557077625571,0.20133154604641673,0.6072932747692016,0.016712328767123287
SST5,Emoopt-13b,hybrid,4,0.1963470319634703,0.1963470319634703,0.15178464362735097,0.6618831808884218,0.024931506849315076
SST5,Emoopt-13b,hybrid,5,0.23515981735159816,0.23515981735159816,0.1794597971031751,0.6469698197824764,0.03561643835616437
SST5,Emoopt-13b,hybrid,6,0.2671232876712329,0.2671232876712329,0.19581938716110261,0.6149875183618924,0.01534246575342466
SST5,Emoopt-13b,hybrid,7,0.273972602739726,0.273972602739726,0.1970147017262487,0.6379545629626352,0.012237442922374431
SST5,Emoopt-13b,hybrid,8,0.2465753424657534,0.2465753424657534,0.18949202001311316,0.6794961811075423,0.013698630136986311
SST5,Emoopt-13b,hybrid,9,0.2511415525114155,0.2511415525114155,0.18521169233243534,0.703321748515755,0.05251141552511414
SST5,Emoopt-13b,mondrian,0,0.228310502283105,0.228310502283105,0.17431669294970487,0.6569543726625355,0.014520547945205497
SST5,Emoopt-13b,mondrian,1,0.2191780821917808,0.2191780821917808,0.15864987527921456,0.6411659096594395,0.021278538812785387
SST5,Emoopt-13b,mondrian,2,0.2374429223744292,0.2374429223744292,0.17899247338089777,0.6492058146569516,0.01753424657534246
SST5,Emoopt-13b,mondrian,3,0.2762557077625571,0.2762557077625571,0.20133154604641673,0.6072932747692016,0.01634703196347028
SST5,Emoopt-13b,mondrian,4,0.1963470319634703,0.1963470319634703,0.15178464362735097,0.6618831808884218,0.00986301369863012
SST5,Emoopt-13b,mondrian,5,0.23515981735159816,0.23515981735159816,0.1794597971031751,0.6469698197824764,0.01753424657534247
SST5,Emoopt-13b,mondrian,6,0.2671232876712329,0.2671232876712329,0.19581938716110261,0.6149875183618924,0.012328767123287676
SST5,Emoopt-13b,mondrian,7,0.273972602739726,0.273972602739726,0.1970147017262487,0.6379545629626352,0.01634703196347036
SST5,Emoopt-13b,mondrian,8,0.2465753424657534,0.2465753424657534,0.18949202001311316,0.6794961811075423,0.02082191780821916
SST5,Emoopt-13b,mondrian,9,0.2511415525114155,0.2511415525114155,0.18521169233243534,0.703321748515755,0.07123287671232877
TDT,Emobloom-7b,global,0,0.5447761194029851,0.5447761194029851,0.5430058580620378,0.5059912074617363,0.02895522388059697
TDT,Emobloom-7b,global,1,0.5298507462686567,0.5298507462686567,0.5404629629629629,0.5458098068363892,0.07462686567164176
TDT,Emobloom-7b,global,2,0.4552238805970149,0.4552238805970149,0.46717869943676393,0.3794380820452655,0.028358208955223875
TDT,Emobloom-7b,global,3,0.5149253731343284,0.5149253731343284,0.5197730963914182,0.4423529345664839,0.03522388059701494
TDT,Emobloom-7b,global,4,0.5223880597014925,0.5223880597014925,0.5270760805565559,0.43294714441519544,0.04626865671641791
TDT,Emobloom-7b,global,5,0.5074626865671642,0.5074626865671642,0.5219251336898396,0.5070115379030871,0.0970149253731343
TDT,Emobloom-7b,global,6,0.48507462686567165,0.48507462686567165,0.4899925177702955,0.43002267613027934,0.06149253731343285
TDT,Emobloom-7b,global,7,0.44776119402985076,0.44776119402985076,0.4501050784046558,0.5032628330108598,0.028358208955223896
TDT,Emobloom-7b,global,8,0.4925373134328358,0.4925373134328358,0.49532486287073446,0.4115520584015932,0.04179104477611941
TDT,Emobloom-7b,global,9,0.4701492537313433,0.4701492537313433,0.4787765293383271,0.5102876477891238,0.047761194029850754
TDT,Emobloom-7b,hybrid,0,0.5447761194029851,0.5447761194029851,0.5430058580620378,0.5059912074617363,0.06268656716417911
TDT,Emobloom-7b,hybrid,1,0.5298507462686567,0.5298507462686567,0.5404629629629629,0.5458098068363892,0.03522388059701491
TDT,Emobloom-7b,hybrid,2,0.4552238805970149,0.4552238805970149,0.46717869943676393,0.3794380820452655,0.061194029850746276
TDT,Emobloom-7b,hybrid,3,0.5149253731343284,0.5149253731343284,0.5197730963914182,0.4423529345664839,0.05641791044776119
TDT,Emobloom-7b,hybrid,4,0.5223880597014925,0.5223880597014925,0.5270760805565559,0.43294714441519544,0.03343283582089551
TDT,Emobloom-7b,hybrid,5,0.5074626865671642,0.5074626865671642,0.5219251336898396,0.5070115379030871,0.051940298507462665
TDT,Emobloom-7b,hybrid,6,0.48507462686567165,0.48507462686567165,0.4899925177702955,0.43002267613027934,0.04507462686567163
TDT,Emobloom-7b,hybrid,7,0.44776119402985076,0.44776119402985076,0.4501050784046558,0.5032628330108598,0.019999999999999973
TDT,Emobloom-7b,hybrid,8,0.4925373134328358,0.4925373134328358,0.49532486287073446,0.4115520584015932,0.03432835820895523
TDT,Emobloom-7b,hybrid,9,0.4701492537313433,0.4701492537313433,0.4787765293383271,0.5102876477891238,0.030746268656716404
TDT,Emobloom-7b,mondrian,0,0.5447761194029851,0.5447761194029851,0.5430058580620378,0.5059912074617363,0.055522388059701513
TDT,Emobloom-7b,mondrian,1,0.5298507462686567,0.5298507462686567,0.5404629629629629,0.5458098068363892,0.06716417910447763
TDT,Emobloom-7b,mondrian,2,0.4552238805970149,0.4552238805970149,0.46717869943676393,0.3794380820452655,0.031641791044776116
TDT,Emobloom-7b,mondrian,3,0.5149253731343284,0.5149253731343284,0.5197730963914182,0.4423529345664839,0.06865671641791045
TDT,Emobloom-7b,mondrian,4,0.5223880597014925,0.5223880597014925,0.5270760805565559,0.43294714441519544,0.05373134328358207
TDT,Emobloom-7b,mondrian,5,0.5074626865671642,0.5074626865671642,0.5219251336898396,0.5070115379030871,0.08656716417910448
TDT,Emobloom-7b,mondrian,6,0.48507462686567165,0.48507462686567165,0.4899925177702955,0.43002267613027934,0.016417910447761176
TDT,Emobloom-7b,mondrian,7,0.44776119402985076,0.44776119402985076,0.4501050784046558,0.5032628330108598,0.03731343283582087
TDT,Emobloom-7b,mondrian,8,0.4925373134328358,0.4925373134328358,0.49532486287073446,0.4115520584015932,0.03492537313432833
