dataset,model,mode,alpha,repeat_index,coverage,interval_size,ece
E-c,Emobloom-7b,global,0.9,6,0.08422664624808576,1.0735068912710566,0.015773353751914215
E-c,Emobloom-7b,global,0.1,7,0.92,8.013846153846155,0.020000000000000018
E-c,Emobloom-7b,global,0.2,7,0.8092307692307692,5.6984615384615385,0.009230769230769154
E-c,Emobloom-7b,global,0.3,7,0.7046153846153846,4.327692307692308,0.004615384615384688
E-c,Emobloom-7b,global,0.4,7,0.6246153846153846,3.596923076923077,0.024615384615384595
E-c,Emobloom-7b,global,0.5,7,0.5476923076923077,2.9876923076923076,0.0476923076923077
E-c,Emobloom-7b,global,0.6,7,0.3723076923076923,1.9723076923076923,0.027692307692307738
E-c,Emobloom-7b,global,0.7,7,0.2923076923076923,1.6507692307692308,0.0076923076923077205
E-c,Emobloom-7b,global,0.8,7,0.20461538461538462,1.396923076923077,0.00461538461538466
E-c,Emobloom-7b,global,0.9,7,0.11538461538461539,1.0876923076923077,0.015384615384615413
E-c,Emobloom-7b,global,0.1,8,0.9138461538461539,8.053846153846154,0.013846153846153841
E-c,Emobloom-7b,global,0.2,8,0.796923076923077,5.741538461538462,0.003076923076923088
E-c,Emobloom-7b,global,0.3,8,0.7015384615384616,4.470769230769231,0.0015384615384615996
E-c,Emobloom-7b,global,0.4,8,0.6307692307692307,3.7415384615384615,0.03076923076923077
E-c,Emobloom-7b,global,0.5,8,0.5507692307692308,3.1369230769230767,0.05076923076923079
E-c,Emobloom-7b,global,0.6,8,0.4046153846153846,2.0492307692307694,0.004615384615384577
E-c,Emobloom-7b,global,0.7,8,0.3123076923076923,1.6723076923076923,0.012307692307692242
E-c,Emobloom-7b,global,0.8,8,0.20461538461538462,1.373846153846154,0.00461538461538466
E-c,Emobloom-7b,global,0.9,8,0.1,1.0753846153846154,2.7755575615628914e-17
E-c,Emobloom-7b,global,0.1,9,0.9262672811059908,8.331797235023041,0.026267281105990747
E-c,Emobloom-7b,global,0.2,9,0.8064516129032258,5.935483870967742,0.006451612903225712
E-c,Emobloom-7b,global,0.3,9,0.7204301075268817,4.798771121351766,0.02043010752688179
E-c,Emobloom-7b,global,0.4,9,0.6190476190476191,3.815668202764977,0.01904761904761909
E-c,Emobloom-7b,global,0.5,9,0.5314900153609831,3.133640552995392,0.03149001536098306
E-c,Emobloom-7b,global,0.6,9,0.4147465437788018,2.1459293394777266,0.014746543778801802
E-c,Emobloom-7b,global,0.7,9,0.3087557603686636,1.7250384024577572,0.008755760368663545
E-c,Emobloom-7b,global,0.8,9,0.2119815668202765,1.4208909370199694,0.01198156682027654
E-c,Emobloom-7b,global,0.9,9,0.10599078341013825,1.096774193548387,0.00599078341013827
E-c,Emobloom-7b,hybrid,0.1,0,0.9354838709677419,8.708141321044547,0.03548387096774186
E-c,Emobloom-7b,hybrid,0.2,0,0.8740399385560675,6.84331797235023,0.0740399385560675
E-c,Emobloom-7b,hybrid,0.3,0,0.783410138248848,5.354838709677419,0.08341013824884802
E-c,Emobloom-7b,hybrid,0.4,0,0.706605222734255,4.373271889400922,0.10660522273425499
E-c,Emobloom-7b,hybrid,0.5,0,0.6082949308755761,3.5775729646697387,0.10829493087557607
E-c,Emobloom-7b,hybrid,0.6,0,0.4792626728110599,2.7665130568356373,0.07926267281105986
